housing_units_occ,homeowner_units_occ,renters_units_occ,med_rent,med_household_price,zip
959,742,217,856,293500,2725
6159,5173,986,1179,293000,2726
1946,1580,366,1270,485500,2738
2895,2239,656,1460,481400,2739
18125,7055,11070,859,230900,2740
4158,3553,605,837,298700,2743
4739,1665,3074,886,242200,2744
9802,5785,4017,901,248800,2745
6324,1014,5310,849,231100,2746
7155,5625,1530,1056,357400,2747
4675,3610,1065,968,381800,2748
10623,7187,3436,1078,351400,2760
3727,2615,1112,1600,359500,2762
694,526,168,1632,433300,2763
1412,1274,138,687,361000,2764
6843,5734,1109,1528,367500,2766
5458,4381,1077,1453,366700,2767
4241,3766,475,1205,401300,2769
1909,1713,196,1088,424600,2770
5958,5094,864,1212,358300,2771
6580,5711,869,1048,315300,2777
2267,2215,52,-,367900,2779
19649,11663,7986,1030,284900,2780
6421,5372,1049,1113,362300,2790
229,174,55,1190,701200,2791
240,53,187,-,-,2802
780,666,114,970,241300,2804
5854,5196,658,1390,437400,2806
400,268,132,818,900700,2807
910,579,331,1003,240500,2808
8122,5345,2777,1141,348100,2809
470,442,28,-,330200,2812
3438,2842,596,1211,351100,2813
2974,2584,390,1081,308200,2814
62,43,19,-,210300,2815
13394,10473,2921,997,242500,2816
2352,1986,366,2220,360800,2817
7823,5865,1958,1169,415500,2818
2022,1679,343,1527,341500,2822
1863,1676,187,868,335800,2825
161,149,12,-,260900,2826
822,798,24,1047,284000,2827
3145,2657,488,1445,312500,2828
2247,1848,399,834,312500,2830
1322,1119,203,1389,294000,2831
1926,1581,345,1022,300500,2832
407,328,79,317,231200,2833
2387,2056,331,1492,664900,2835
78,78,0,-,242400,2836
1556,1236,320,1494,581500,2837
1255,552,703,1098,277900,2838
808,526,282,1288,232500,2839
10116,4423,5693,1331,495000,2840
0,0,0,-,-,2841
6773,3864,2909,1419,387300,2842
8851,6650,2201,979,351900,2852
3189,2843,346,1317,328500,2857
190,163,27,-,240300,2858
2687,1882,805,911,271200,2859
18025,6772,11253,905,212100,2860
9952,6519,3433,1021,215400,2861
6086,1446,4640,884,176300,2863
13203,10215,2988,987,309300,2864
6625,4770,1855,1282,345700,2865
7193,5714,1479,1562,390800,2871
101,88,13,-,291000,2872
43,43,0,-,304500,2873
2463,2130,333,1711,489200,2874
179,151,28,-,342600,2875
307,89,218,1505,-,2876
6452,5053,1399,1020,281900,2878
8914,6671,2243,1103,379000,2879
914,682,232,1388,368700,2881
5956,3838,2118,1352,464400,2882
