hs_incomp_25_plus,hs_grad_25_plus,bach_grad_25_plus,perc_bach_grad_and_above,zip
130,914,798,41.4,3748
17,98,200,73.6,3750
0,158,117,40.1,3751
37,248,55,18.1,3752
14,300,881,64.9,3753
0,27,0,0.0,3754
42,237,1519,83.7,3755
13,240,64,28.1,3765
415,1547,1645,53.4,3766
36,263,304,66.4,3768
0,35,72,60.9,3770
32,229,149,31.5,3771
490,2099,861,21.3,3773
165,492,223,25.4,3774
84,335,155,28.5,3777
18,169,124,40.3,3779
3,70,91,40.1,3780
43,442,341,43.3,3781
17,633,471,41.9,3782
203,539,769,53.3,3784
208,637,168,16.4,3785
498,2813,5962,58.3,3801
218,651,323,28.6,3809
45,185,398,43.9,3810
103,984,1425,49.0,3811
42,207,71,18.3,3812
82,707,431,26.3,3813
165,882,219,17.1,3814
67,324,222,29.9,3816
95,215,176,29.4,3817
192,902,520,26.9,3818
159,1081,644,26.9,3819
972,4731,6375,46.5,3820
59,181,336,55.6,3823
55,240,1486,75.0,3824
196,1417,1631,44.0,3825
47,440,404,31.8,3826
67,478,546,38.4,3827
83,486,196,16.8,3830
4,34,119,61.2,3832
654,3450,4583,48.5,3833
378,1837,537,14.9,3835
30,318,245,38.1,3836
34,236,198,30.2,3837
112,235,111,33.2,3838
167,965,478,23.9,3839
35,503,988,54.4,3840
82,982,1353,45.9,3841
245,2685,3434,48.2,3842
47,336,622,54.1,3844
0,224,147,33.0,3845
8,120,226,56.0,3846
0,0,234,96.4,3847
229,1223,1123,35.6,3848
32,387,197,31.8,3849
0,31,65,62.7,3850
183,1081,387,23.5,3851
10,228,152,34.9,3852
11,78,113,47.5,3853
0,59,260,65.2,3854
87,544,403,31.2,3855
28,211,374,53.9,3856
156,1398,2022,47.4,3857
125,1177,746,32.7,3858
2,565,962,44.6,3860
129,446,906,56.3,3861
63,662,1013,51.2,3862
158,507,199,18.8,3864
